season,conference,team,offense,defense
2015,Mountain West,Boise State,"{'overall': 0.18, 'passing': 0.25, 'rushing': 0.12, 'firstDown': 0.1, 'secondDown': 0.15, 'thirdDown': 0.41, 'cumulative': {'total': 193.9, 'passing': 137.99, 'rushing': 64.6}}","{'overall': 0.03, 'passing': 0.1, 'rushing': -0.03, 'firstDown': -0.15, 'secondDown': -0.01, 'thirdDown': 0.38, 'cumulative': {'total': 24.9, 'passing': 455.8, 'rushing': -12.5}}"
2015,ACC,Boston College,"{'overall': 0, 'passing': 0.03, 'rushing': -0.01, 'firstDown': -0.17, 'secondDown': 0.1, 'thirdDown': 0.14, 'cumulative': {'total': 1.1, 'passing': 9.25, 'rushing': -6.2}}","{'overall': -0.09, 'passing': 0.04, 'rushing': -0.2, 'firstDown': -0.25, 'secondDown': -0.04, 'thirdDown': 0.19, 'cumulative': {'total': -65.6, 'passing': 130, 'rushing': -76.7}}"
2015,Mid-American,Bowling Green,"{'overall': 0.34, 'passing': 0.41, 'rushing': 0.27, 'firstDown': 0.18, 'secondDown': 0.32, 'thirdDown': 0.86, 'cumulative': {'total': 378.6, 'passing': 248.98, 'rushing': 132.9}}","{'overall': 0.13, 'passing': 0.16, 'rushing': 0.12, 'firstDown': -0.07, 'secondDown': 0.23, 'thirdDown': 0.44, 'cumulative': {'total': 140.2, 'passing': 791.8, 'rushing': 66.2}}"
2015,Mid-American,Buffalo,"{'overall': 0.14, 'passing': 0.24, 'rushing': 0.05, 'firstDown': 0.03, 'secondDown': 0.13, 'thirdDown': 0.36, 'cumulative': {'total': 113.1, 'passing': 103.15, 'rushing': 18.3}}","{'overall': 0.09, 'passing': 0.09, 'rushing': 0.11, 'firstDown': -0.1, 'secondDown': 0.23, 'thirdDown': 0.41, 'cumulative': {'total': 76.6, 'passing': 319.1, 'rushing': 50.9}}"
2015,FBS Independents,BYU,"{'overall': 0.2, 'passing': 0.25, 'rushing': 0.14, 'firstDown': 0.04, 'secondDown': 0.17, 'thirdDown': 0.57, 'cumulative': {'total': 183, 'passing': 132.69, 'rushing': 54.6}}","{'overall': 0.06, 'passing': 0.11, 'rushing': 0.02, 'firstDown': -0.13, 'secondDown': 0.05, 'thirdDown': 0.43, 'cumulative': {'total': 58.1, 'passing': 505.1, 'rushing': 10.6}}"
2015,Pac-12,California,"{'overall': 0.28, 'passing': 0.41, 'rushing': 0.12, 'firstDown': 0.15, 'secondDown': 0.27, 'thirdDown': 0.68, 'cumulative': {'total': 279.3, 'passing': 235.87, 'rushing': 48.6}}","{'overall': 0.19, 'passing': 0.25, 'rushing': 0.15, 'firstDown': 0.11, 'secondDown': 0.1, 'thirdDown': 0.52, 'cumulative': {'total': 183.9, 'passing': 1059.3, 'rushing': 80.6}}"
2015,Mid-American,Central Michigan,"{'overall': 0.15, 'passing': 0.33, 'rushing': -0.08, 'firstDown': -0.02, 'secondDown': 0.09, 'thirdDown': 0.6, 'cumulative': {'total': 130.1, 'passing': 160.24, 'rushing': -27.4}}","{'overall': 0.11, 'passing': 0.29, 'rushing': -0.05, 'firstDown': -0.04, 'secondDown': 0.14, 'thirdDown': 0.37, 'cumulative': {'total': 83.7, 'passing': 1082.3, 'rushing': -18.7}}"
2015,Conference USA,Charlotte,"{'overall': -0.03, 'passing': -0.11, 'rushing': 0.04, 'firstDown': -0.13, 'secondDown': -0.08, 'thirdDown': 0.25, 'cumulative': {'total': -27.2, 'passing': -44.36, 'rushing': 20.1}}","{'overall': 0.15, 'passing': 0.26, 'rushing': 0.06, 'firstDown': 0, 'secondDown': 0.09, 'thirdDown': 0.53, 'cumulative': {'total': 136.5, 'passing': 1075.6, 'rushing': 30}}"
2015,American Athletic,Cincinnati,"{'overall': 0.23, 'passing': 0.31, 'rushing': 0.14, 'firstDown': 0.08, 'secondDown': 0.2, 'thirdDown': 0.63, 'cumulative': {'total': 243.3, 'passing': 178.2, 'rushing': 66.4}}","{'overall': 0.16, 'passing': 0.21, 'rushing': 0.13, 'firstDown': 0.04, 'secondDown': 0.12, 'thirdDown': 0.52, 'cumulative': {'total': 152.2, 'passing': 888.6, 'rushing': 66.8}}"
2015,ACC,Clemson,"{'overall': 0.27, 'passing': 0.41, 'rushing': 0.17, 'firstDown': 0.1, 'secondDown': 0.27, 'thirdDown': 0.7, 'cumulative': {'total': 329.7, 'passing': 222.13, 'rushing': 115.8}}","{'overall': -0.01, 'passing': 0, 'rushing': 0, 'firstDown': -0.28, 'secondDown': 0.11, 'thirdDown': 0.29, 'cumulative': {'total': -9.1, 'passing': -18, 'rushing': -1.1}}"
2015,Pac-12,Colorado,"{'overall': 0.13, 'passing': 0.2, 'rushing': 0.08, 'firstDown': 0.07, 'secondDown': 0.05, 'thirdDown': 0.38, 'cumulative': {'total': 124.5, 'passing': 90.04, 'rushing': 38.2}}","{'overall': 0.16, 'passing': 0.15, 'rushing': 0.18, 'firstDown': 0.07, 'secondDown': 0.15, 'thirdDown': 0.38, 'cumulative': {'total': 143.3, 'passing': 638.2, 'rushing': 81.4}}"
2015,Mountain West,Colorado State,"{'overall': 0.16, 'passing': 0.27, 'rushing': 0.11, 'firstDown': 0.07, 'secondDown': 0.11, 'thirdDown': 0.54, 'cumulative': {'total': 154.3, 'passing': 110.04, 'rushing': 56.1}}","{'overall': 0.17, 'passing': 0.18, 'rushing': 0.17, 'firstDown': 0, 'secondDown': 0.27, 'thirdDown': 0.33, 'cumulative': {'total': 149.2, 'passing': 618.4, 'rushing': 90.8}}"
2015,ACC,Duke,"{'overall': 0.11, 'passing': 0.19, 'rushing': 0.04, 'firstDown': 0.01, 'secondDown': 0, 'thirdDown': 0.53, 'cumulative': {'total': 118.7, 'passing': 99.52, 'rushing': 22.7}}","{'overall': 0.14, 'passing': 0.3, 'rushing': 0.02, 'firstDown': 0.01, 'secondDown': 0.14, 'thirdDown': 0.45, 'cumulative': {'total': 138.4, 'passing': 1226.4, 'rushing': 12.9}}"
2015,American Athletic,East Carolina,"{'overall': 0.16, 'passing': 0.25, 'rushing': 0.07, 'firstDown': 0, 'secondDown': 0.09, 'thirdDown': 0.55, 'cumulative': {'total': 144.8, 'passing': 121.93, 'rushing': 25.4}}","{'overall': 0.15, 'passing': 0.18, 'rushing': 0.13, 'firstDown': 0.1, 'secondDown': 0.02, 'thirdDown': 0.44, 'cumulative': {'total': 136.2, 'passing': 723.3, 'rushing': 65.9}}"
2015,Mid-American,Eastern Michigan,"{'overall': 0.14, 'passing': 0.18, 'rushing': 0.1, 'firstDown': -0.1, 'secondDown': 0.21, 'thirdDown': 0.49, 'cumulative': {'total': 116.3, 'passing': 77.85, 'rushing': 40.1}}","{'overall': 0.35, 'passing': 0.31, 'rushing': 0.37, 'firstDown': 0.25, 'secondDown': 0.2, 'thirdDown': 0.79, 'cumulative': {'total': 309.4, 'passing': 978.4, 'rushing': 213.9}}"
2015,SEC,Florida,"{'overall': 0.12, 'passing': 0.18, 'rushing': 0.07, 'firstDown': 0, 'secondDown': 0.04, 'thirdDown': 0.41, 'cumulative': {'total': 107.4, 'passing': 80.32, 'rushing': 30.3}}","{'overall': 0.02, 'passing': 0.08, 'rushing': 0.03, 'firstDown': -0.09, 'secondDown': 0.05, 'thirdDown': 0.21, 'cumulative': {'total': 23.2, 'passing': 373.4, 'rushing': 12.6}}"
2015,Conference USA,Florida Atlantic,"{'overall': 0.04, 'passing': 0.07, 'rushing': 0.03, 'firstDown': -0.08, 'secondDown': 0.08, 'thirdDown': 0.31, 'cumulative': {'total': 37.4, 'passing': 29.17, 'rushing': 15.8}}","{'overall': 0.13, 'passing': 0.18, 'rushing': 0.1, 'firstDown': -0.01, 'secondDown': 0.08, 'thirdDown': 0.5, 'cumulative': {'total': 117.7, 'passing': 725.2, 'rushing': 48.2}}"
2015,Conference USA,Florida International,"{'overall': 0.11, 'passing': 0.15, 'rushing': 0.06, 'firstDown': 0, 'secondDown': 0.01, 'thirdDown': 0.53, 'cumulative': {'total': 84.5, 'passing': 65.36, 'rushing': 21.4}}","{'overall': 0.15, 'passing': 0.16, 'rushing': 0.16, 'firstDown': 0.09, 'secondDown': 0.16, 'thirdDown': 0.41, 'cumulative': {'total': 124.4, 'passing': 573.1, 'rushing': 67.9}}"
2015,ACC,Florida State,"{'overall': 0.22, 'passing': 0.37, 'rushing': 0.12, 'firstDown': 0.12, 'secondDown': 0.28, 'thirdDown': 0.51, 'cumulative': {'total': 185.7, 'passing': 162.38, 'rushing': 46.4}}","{'overall': 0.08, 'passing': 0.11, 'rushing': 0.06, 'firstDown': -0.12, 'secondDown': 0.07, 'thirdDown': 0.48, 'cumulative': {'total': 79.2, 'passing': 537.1, 'rushing': 29.5}}"
2015,Mountain West,Fresno State,"{'overall': -0.01, 'passing': -0.05, 'rushing': 0.05, 'firstDown': -0.11, 'secondDown': -0.08, 'thirdDown': 0.41, 'cumulative': {'total': -6.8, 'passing': -23.13, 'rushing': 18.7}}","{'overall': 0.25, 'passing': 0.24, 'rushing': 0.26, 'firstDown': 0.03, 'secondDown': 0.32, 'thirdDown': 0.58, 'cumulative': {'total': 224.8, 'passing': 841, 'rushing': 140.4}}"
2015,SEC,Georgia,"{'overall': 0.17, 'passing': 0.28, 'rushing': 0.1, 'firstDown': 0.16, 'secondDown': 0.19, 'thirdDown': 0.26, 'cumulative': {'total': 140.6, 'passing': 95.97, 'rushing': 48.9}}","{'overall': 0, 'passing': 0.05, 'rushing': -0.02, 'firstDown': -0.11, 'secondDown': 0.02, 'thirdDown': 0.12, 'cumulative': {'total': 1.7, 'passing': 173.7, 'rushing': -7.6}}"
2015,Sun Belt,Georgia Southern,"{'overall': 0.23, 'passing': -0.06, 'rushing': 0.29, 'firstDown': 0.11, 'secondDown': 0.22, 'thirdDown': 0.45, 'cumulative': {'total': 198.7, 'passing': -8.03, 'rushing': 211.3}}","{'overall': 0.14, 'passing': 0.24, 'rushing': 0.07, 'firstDown': 0.1, 'secondDown': 0.04, 'thirdDown': 0.48, 'cumulative': {'total': 112.6, 'passing': 911.5, 'rushing': 27}}"
2015,Sun Belt,Georgia State,"{'overall': 0.17, 'passing': 0.38, 'rushing': -0.12, 'firstDown': -0.01, 'secondDown': 0.16, 'thirdDown': 0.63, 'cumulative': {'total': 151.5, 'passing': 198.63, 'rushing': -46.1}}","{'overall': 0.12, 'passing': 0.15, 'rushing': 0.1, 'firstDown': 0.06, 'secondDown': 0.06, 'thirdDown': 0.32, 'cumulative': {'total': 120.6, 'passing': 693.1, 'rushing': 53.6}}"
2015,ACC,Georgia Tech,"{'overall': 0.19, 'passing': 0.21, 'rushing': 0.18, 'firstDown': 0.07, 'secondDown': 0.29, 'thirdDown': 0.26, 'cumulative': {'total': 150.2, 'passing': 43.05, 'rushing': 104.4}}","{'overall': 0.14, 'passing': 0.24, 'rushing': 0.1, 'firstDown': 0.06, 'secondDown': 0.11, 'thirdDown': 0.39, 'cumulative': {'total': 104.5, 'passing': 821.7, 'rushing': 39.7}}"
2015,Mountain West,Hawai'i,"{'overall': 0.05, 'passing': 0.01, 'rushing': 0.07, 'firstDown': -0.09, 'secondDown': 0.04, 'thirdDown': 0.32, 'cumulative': {'total': 35.7, 'passing': 5.87, 'rushing': 26.3}}","{'overall': 0.2, 'passing': 0.38, 'rushing': 0.11, 'firstDown': 0.15, 'secondDown': 0.09, 'thirdDown': 0.57, 'cumulative': {'total': 195.5, 'passing': 1292.1, 'rushing': 68.5}}"
2015,American Athletic,Houston,"{'overall': 0.25, 'passing': 0.39, 'rushing': 0.17, 'firstDown': -0.03, 'secondDown': 0.26, 'thirdDown': 0.89, 'cumulative': {'total': 274.5, 'passing': 177.1, 'rushing': 107.4}}","{'overall': 0.08, 'passing': 0.19, 'rushing': -0.04, 'firstDown': -0.09, 'secondDown': 0.05, 'thirdDown': 0.45, 'cumulative': {'total': 81.5, 'passing': 1021.7, 'rushing': -19.3}}"
2015,Sun Belt,Idaho,"{'overall': 0.13, 'passing': 0.15, 'rushing': 0.15, 'firstDown': 0, 'secondDown': 0.04, 'thirdDown': 0.54, 'cumulative': {'total': 115.3, 'passing': 70.58, 'rushing': 57.2}}","{'overall': 0.33, 'passing': 0.39, 'rushing': 0.31, 'firstDown': 0.22, 'secondDown': 0.41, 'thirdDown': 0.46, 'cumulative': {'total': 255.4, 'passing': 1132.6, 'rushing': 141.9}}"
2015,Big Ten,Illinois,"{'overall': 0.05, 'passing': 0.1, 'rushing': 0.01, 'firstDown': -0.08, 'secondDown': 0.09, 'thirdDown': 0.29, 'cumulative': {'total': 48.1, 'passing': 51.56, 'rushing': 2.4}}","{'overall': 0.06, 'passing': 0.07, 'rushing': 0.04, 'firstDown': -0.1, 'secondDown': 0.12, 'thirdDown': 0.25, 'cumulative': {'total': 50.9, 'passing': 295.5, 'rushing': 18.9}}"
2015,Big Ten,Indiana,"{'overall': 0.21, 'passing': 0.4, 'rushing': 0.09, 'firstDown': 0.16, 'secondDown': 0.25, 'thirdDown': 0.41, 'cumulative': {'total': 229.2, 'passing': 182.5, 'rushing': 52}}","{'overall': 0.21, 'passing': 0.27, 'rushing': 0.17, 'firstDown': -0.01, 'secondDown': 0.31, 'thirdDown': 0.64, 'cumulative': {'total': 220, 'passing': 1573.4, 'rushing': 76.3}}"
2015,Big Ten,Iowa,"{'overall': 0.19, 'passing': 0.31, 'rushing': 0.11, 'firstDown': 0.11, 'secondDown': 0.2, 'thirdDown': 0.39, 'cumulative': {'total': 185.4, 'passing': 123.75, 'rushing': 57.2}}","{'overall': 0.06, 'passing': 0.06, 'rushing': 0.07, 'firstDown': -0.05, 'secondDown': 0.01, 'thirdDown': 0.33, 'cumulative': {'total': 55.5, 'passing': 300, 'rushing': 30.6}}"
2015,Big 12,Iowa State,"{'overall': 0.12, 'passing': 0.13, 'rushing': 0.11, 'firstDown': 0.05, 'secondDown': -0.01, 'thirdDown': 0.46, 'cumulative': {'total': 106.2, 'passing': 60.14, 'rushing': 48.7}}","{'overall': 0.22, 'passing': 0.34, 'rushing': 0.11, 'firstDown': 0.14, 'secondDown': 0.08, 'thirdDown': 0.69, 'cumulative': {'total': 193.9, 'passing': 1454.7, 'rushing': 51.7}}"
2015,Big 12,Kansas,"{'overall': 0, 'passing': 0.06, 'rushing': -0.05, 'firstDown': -0.15, 'secondDown': -0.06, 'thirdDown': 0.49, 'cumulative': {'total': -1.8, 'passing': 28.4, 'rushing': -21.7}}","{'overall': 0.3, 'passing': 0.38, 'rushing': 0.27, 'firstDown': 0.26, 'secondDown': 0.34, 'thirdDown': 0.42, 'cumulative': {'total': 298.5, 'passing': 1607.3, 'rushing': 144.7}}"
2015,Big 12,Kansas State,"{'overall': 0.12, 'passing': 0.14, 'rushing': 0.12, 'firstDown': 0.02, 'secondDown': 0.08, 'thirdDown': 0.41, 'cumulative': {'total': 107.2, 'passing': 53.07, 'rushing': 60.7}}","{'overall': 0.22, 'passing': 0.33, 'rushing': 0.12, 'firstDown': 0.17, 'secondDown': 0.14, 'thirdDown': 0.58, 'cumulative': {'total': 212.2, 'passing': 1609.4, 'rushing': 55}}"
2015,Mid-American,Kent State,"{'overall': -0.08, 'passing': -0.01, 'rushing': -0.14, 'firstDown': -0.21, 'secondDown': 0.03, 'thirdDown': 0, 'cumulative': {'total': -56.2, 'passing': -2.76, 'rushing': -53}}","{'overall': 0.1, 'passing': 0.19, 'rushing': 0.05, 'firstDown': 0.01, 'secondDown': -0.05, 'thirdDown': 0.45, 'cumulative': {'total': 73.1, 'passing': 606.7, 'rushing': 17.6}}"
2015,SEC,Kentucky,"{'overall': 0.15, 'passing': 0.09, 'rushing': 0.22, 'firstDown': -0.06, 'secondDown': 0.12, 'thirdDown': 0.52, 'cumulative': {'total': 124.8, 'passing': 40.57, 'rushing': 86.2}}","{'overall': 0.12, 'passing': 0.17, 'rushing': 0.09, 'firstDown': 0.04, 'secondDown': 0.08, 'thirdDown': 0.36, 'cumulative': {'total': 102.3, 'passing': 610.9, 'rushing': 46.8}}"
2015,Sun Belt,Louisiana,"{'overall': 0.14, 'passing': 0.14, 'rushing': 0.14, 'firstDown': 0.07, 'secondDown': 0.13, 'thirdDown': 0.29, 'cumulative': {'total': 117.2, 'passing': 56.96, 'rushing': 60.6}}","{'overall': 0.2, 'passing': 0.35, 'rushing': 0.08, 'firstDown': 0.01, 'secondDown': 0.1, 'thirdDown': 0.68, 'cumulative': {'total': 168.2, 'passing': 1327.9, 'rushing': 38.2}}"
2015,Conference USA,Louisiana Tech,"{'overall': 0.23, 'passing': 0.34, 'rushing': 0.13, 'firstDown': 0.07, 'secondDown': 0.31, 'thirdDown': 0.52, 'cumulative': {'total': 214.8, 'passing': 166.61, 'rushing': 54.6}}","{'overall': 0.08, 'passing': 0.21, 'rushing': -0.04, 'firstDown': -0.12, 'secondDown': 0.03, 'thirdDown': 0.6, 'cumulative': {'total': 78.8, 'passing': 1048.3, 'rushing': -15.7}}"
2015,ACC,Louisville,"{'overall': 0.15, 'passing': 0.16, 'rushing': 0.16, 'firstDown': 0.01, 'secondDown': 0.17, 'thirdDown': 0.49, 'cumulative': {'total': 140.5, 'passing': 71.81, 'rushing': 73.4}}","{'overall': 0.09, 'passing': 0.2, 'rushing': -0.01, 'firstDown': -0.11, 'secondDown': -0.01, 'thirdDown': 0.56, 'cumulative': {'total': 83.7, 'passing': 911.9, 'rushing': -6.4}}"
2015,SEC,LSU,"{'overall': 0.28, 'passing': 0.33, 'rushing': 0.28, 'firstDown': 0.1, 'secondDown': 0.33, 'thirdDown': 0.69, 'cumulative': {'total': 223.1, 'passing': 96.27, 'rushing': 136.1}}","{'overall': 0.12, 'passing': 0.13, 'rushing': 0.11, 'firstDown': 0.03, 'secondDown': 0.05, 'thirdDown': 0.36, 'cumulative': {'total': 94.5, 'passing': 569.5, 'rushing': 40.2}}"
2015,Conference USA,Marshall,"{'overall': 0.12, 'passing': 0.19, 'rushing': 0.07, 'firstDown': -0.04, 'secondDown': 0.19, 'thirdDown': 0.4, 'cumulative': {'total': 121.4, 'passing': 92.05, 'rushing': 34.8}}","{'overall': 0, 'passing': -0.05, 'rushing': 0.06, 'firstDown': -0.08, 'secondDown': 0.05, 'thirdDown': 0.2, 'cumulative': {'total': 2.5, 'passing': -222.8, 'rushing': 31.2}}"
2015,Big Ten,Maryland,"{'overall': 0.06, 'passing': -0.05, 'rushing': 0.18, 'firstDown': -0.11, 'secondDown': 0.16, 'thirdDown': 0.31, 'cumulative': {'total': 50.9, 'passing': -21.81, 'rushing': 75}}","{'overall': 0.16, 'passing': 0.28, 'rushing': 0.07, 'firstDown': 0.07, 'secondDown': 0.15, 'thirdDown': 0.4, 'cumulative': {'total': 149.8, 'passing': 1146.4, 'rushing': 33.1}}"
2015,Mid-American,Massachusetts,"{'overall': 0.09, 'passing': 0.08, 'rushing': 0.14, 'firstDown': -0.03, 'secondDown': 0.1, 'thirdDown': 0.41, 'cumulative': {'total': 84.7, 'passing': 42.39, 'rushing': 52.3}}","{'overall': 0.18, 'passing': 0.34, 'rushing': 0.06, 'firstDown': 0.07, 'secondDown': 0.11, 'thirdDown': 0.6, 'cumulative': {'total': 171.3, 'passing': 1446.7, 'rushing': 32.2}}"
2015,American Athletic,Memphis,"{'overall': 0.24, 'passing': 0.4, 'rushing': 0.1, 'firstDown': 0.09, 'secondDown': 0.16, 'thirdDown': 0.68, 'cumulative': {'total': 250.1, 'passing': 192.07, 'rushing': 52.7}}","{'overall': 0.14, 'passing': 0.25, 'rushing': 0.07, 'firstDown': 0.05, 'secondDown': 0.24, 'thirdDown': 0.36, 'cumulative': {'total': 139.9, 'passing': 1113.3, 'rushing': 34.8}}"
2015,ACC,Miami,"{'overall': 0.16, 'passing': 0.32, 'rushing': 0.01, 'firstDown': 0.01, 'secondDown': 0.19, 'thirdDown': 0.36, 'cumulative': {'total': 143.7, 'passing': 147.2, 'rushing': 2.7}}","{'overall': 0.17, 'passing': 0.14, 'rushing': 0.21, 'firstDown': 0.05, 'secondDown': 0.23, 'thirdDown': 0.45, 'cumulative': {'total': 157.5, 'passing': 616, 'rushing': 100.8}}"
2015,Mid-American,Miami (OH),"{'overall': 0.03, 'passing': 0.11, 'rushing': -0.04, 'firstDown': -0.04, 'secondDown': -0.01, 'thirdDown': 0.24, 'cumulative': {'total': 21.9, 'passing': 42.52, 'rushing': -15}}","{'overall': 0.13, 'passing': 0.21, 'rushing': 0.06, 'firstDown': 0.03, 'secondDown': 0.24, 'thirdDown': 0.2, 'cumulative': {'total': 117, 'passing': 837.3, 'rushing': 28.1}}"
2015,Big Ten,Michigan,"{'overall': 0.18, 'passing': 0.31, 'rushing': 0.1, 'firstDown': -0.02, 'secondDown': 0.23, 'thirdDown': 0.62, 'cumulative': {'total': 164.4, 'passing': 136.04, 'rushing': 46.3}}","{'overall': 0.01, 'passing': -0.04, 'rushing': 0.06, 'firstDown': -0.13, 'secondDown': 0.13, 'thirdDown': 0.1, 'cumulative': {'total': 4.9, 'passing': -169.3, 'rushing': 26.4}}"
2015,Big Ten,Michigan State,"{'overall': 0.14, 'passing': 0.33, 'rushing': 0.02, 'firstDown': -0.08, 'secondDown': 0.19, 'thirdDown': 0.66, 'cumulative': {'total': 142.6, 'passing': 149.28, 'rushing': 10.1}}","{'overall': 0.11, 'passing': 0.2, 'rushing': 0.02, 'firstDown': 0, 'secondDown': 0.02, 'thirdDown': 0.41, 'cumulative': {'total': 98, 'passing': 919.1, 'rushing': 6.4}}"
2015,Conference USA,Middle Tennessee,"{'overall': 0.19, 'passing': 0.37, 'rushing': 0.01, 'firstDown': -0.02, 'secondDown': 0.25, 'thirdDown': 0.53, 'cumulative': {'total': 189.1, 'passing': 189.1, 'rushing': 4.7}}","{'overall': 0.05, 'passing': 0.08, 'rushing': 0.07, 'firstDown': -0.09, 'secondDown': 0.18, 'thirdDown': 0.21, 'cumulative': {'total': 52.1, 'passing': 378.9, 'rushing': 30.5}}"
